marka,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
audi, Q2,2019.0,28990.0,Automatic,2901.0,Petrol,145.0,33.2,2.0
vw, Scirocco,2017.0,13791.0,Semi-Auto,50405.0,Diesel,30.0,57.6,2.0
vw, Golf,2019.0,21864.0,Semi-Auto,4722.0,Petrol,145.0,43.5,1.5
ford, Fiesta,2017.0,9399.0,Manual,23534.0,Petrol,145.0,65.7,1.0
bmw, 3 Series,2016.0,16500.0,Automatic,23340.0,Diesel,30.0,64.2,2.0
vauxhall, Corsa,2018.0,7820.0,Manual,13120.0,Petrol,145.0,55.4,1.4
vauxhall, Mokka X,2018.0,11998.0,Manual,11958.0,Petrol,145.0,47.1,1.4
unclean focus, Focus,2019.0,17995.0,Manual,90.0,Petrol,145.0,54.3,1.6
focus, Focus,2017.0,11698.0,Manual,8111.0,Petrol,145.0,54.3,1.0
vauxhall, Corsa,2016.0,7700.0,Manual,27000.0,Petrol,30.0,54.3,1.4
bmw, X1,2016.0,17000.0,Manual,41377.0,Diesel,125.0,58.9,2.0
ford, C-MAX,2017.0,10498.0,Manual,18250.0,Diesel,20.0,68.9,1.5
bmw, X5,2016.0,19750.0,Automatic,96213.0,Diesel,165.0,52.3,2.0
vw, Tiguan,2019.0,20990.0,Manual,3097.0,Petrol,150.0,40.9,1.5
toyota, Corolla,2019.0,21000.0,Automatic,11449.0,Hybrid,140.0,78.5,1.8
focus, Focus,2019.0,16500.0,Automatic,13777.0,Petrol,145.0,54.3,1.0
ford, Focus,2019.0,15999.0,Manual,8340.0,Petrol,145.0,60.1,1.0
unclean focus, Focus,2018.0,18787.0,Manual,15464.0,Petrol,145.0,54.3,1.6
merc, S Class,2005.0,4990.0,Automatic,75148.0,Diesel,330.0,36.7,3.2
cclass, C Class,2017.0,24995.0,Automatic,14000.0,Petrol,145.0,54.3,2.0
bmw, 3 Series,2018.0,17488.0,Manual,29384.0,Petrol,145.0,47.9,2.0
ford, Fiesta,2016.0,9695.0,Manual,25146.0,Petrol,0.0,65.7,1.0
vw, Polo,2013.0,7500.0,Manual,44437.0,Petrol,125.0,51.4,1.2
unclean focus, Focus,2019.0,18998.0,Automatic,2411.0,Petrol,145.0,54.3,1.6
audi, A5,2019.0,33990.0,Semi-Auto,7000.0,Petrol,145.0,39.2,2.0
audi, Q3,2016.0,16995.0,Semi-Auto,52496.0,Diesel,160.0,50.4,2.0
merc, C Class,2019.0,29099.0,Semi-Auto,8205.0,Diesel,145.0,57.7,2.0
cclass, C Class,2019.0,25799.0,Automatic,1649.0,Petrol,145.0,54.3,1.5
toyota, Yaris,2019.0,12795.0,Automatic,13000.0,Petrol,150.0,47.9,1.5
ford, Focus,2008.0,3695.0,Automatic,65782.0,Petrol,260.0,37.7,1.6
unclean cclass, C Class,2017.0,17488.0,Automatic,29645.0,Petrol,145.0,54.3,1.6
vw, Polo,2016.0,12300.0,Automatic,10872.0,Petrol,20.0,60.1,1.2
hyundi, I30,2018.0,11780.0,Manual,12955.0,Petrol,145.0,52.3,1.4
hyundi, I10,2019.0,9985.0,Manual,5223.0,Petrol,145.0,57.6,1.2
vauxhall, Insignia,2018.0,12998.0,Manual,49046.0,Diesel,145.0,65.7,1.6
ford, Focus,2017.0,10898.0,Manual,14050.0,Petrol,145.0,60.1,1.0
bmw, M3,2013.0,19699.0,Automatic,58125.0,Petrol,570.0,25.2,4.0
focus, Focus,2018.0,13500.0,Manual,16612.0,Petrol,145.0,54.3,1.0
merc, GLA Class,2016.0,25499.0,Semi-Auto,36298.0,Petrol,235.0,38.2,2.0
vauxhall, Mokka X,2018.0,13195.0,Semi-Auto,17000.0,Petrol,150.0,43.5,1.4
toyota, Verso,2015.0,13994.0,Automatic,19293.0,Petrol,200.0,41.5,1.8
vauxhall, Mokka X,2017.0,10498.0,Manual,27902.0,Petrol,150.0,47.1,1.4
vauxhall, Astra,2020.0,17495.0,Manual,250.0,Petrol,150.0,54.3,1.2
merc, C Class,2019.0,28382.0,Automatic,12585.0,Diesel,145.0,64.2,2.0
merc, C Class,2019.0,29500.0,Semi-Auto,6922.0,Petrol,145.0,44.1,2.0
ford, Focus,2017.0,11800.0,Manual,6859.0,Petrol,20.0,60.1,1.0
bmw, 2 Series,2020.0,23990.0,Semi-Auto,1743.0,Petrol,150.0,50.4,1.5
merc, A Class,2018.0,17132.0,Semi-Auto,29686.0,Petrol,145.0,53.3,1.6
vw, Polo,2017.0,10190.0,Manual,35738.0,Petrol,20.0,60.1,1.2
merc, CL Class,2017.0,16490.0,Manual,32282.0,Petrol,145.0,51.4,1.6
vauxhall, Astra,2016.0,7999.0,Manual,32347.0,Petrol,125.0,51.4,1.4
vw, Polo,2020.0,17450.0,Manual,1000.0,Petrol,150.0,52.3,1.0
cclass, C Class,2017.0,18795.0,Automatic,46294.0,Diesel,145.0,54.3,2.1
merc, C Class,2016.0,13498.0,Manual,32174.0,Diesel,20.0,70.6,2.1
ford, Kuga,2017.0,14130.0,Manual,14716.0,Diesel,125.0,60.1,2.0
bmw, 3 Series,2017.0,13500.0,Automatic,48082.0,Petrol,150.0,51.4,2.0
unclean cclass, C Class,2019.0,28991.0,Automatic,4000.0,Petrol,145.0,54.3,1.6
ford, Fiesta,2015.0,7650.0,Manual,18397.0,Diesel,0.0,76.4,1.5
ford, Kuga,2019.0,19750.0,Automatic,1000.0,Petrol,145.0,28.8,1.5
vauxhall, Insignia,2018.0,14591.0,Manual,21021.0,Petrol,145.0,47.1,1.5
skoda, Octavia,2019.0,24295.0,Semi-Auto,3400.0,Petrol,145.0,35.3,2.0
audi, Q5,2016.0,21498.0,Semi-Auto,20547.0,Diesel,200.0,47.1,2.0
ford, Fiesta,2018.0,12340.0,Manual,4103.0,Petrol,145.0,58.9,1.0
ford, EcoSport,2018.0,14000.0,Manual,11902.0,Petrol,150.0,54.3,1.0
vauxhall, Antara,2014.0,6490.0,Manual,39003.0,Diesel,235.0,44.1,2.2
hyundi, Santa Fe,2019.0,35985.0,Automatic,100.0,Diesel,145.0,39.2,2.2
bmw, 2 Series,2019.0,22000.0,Manual,2560.0,Petrol,145.0,52.3,1.5
merc, CL Class,2016.0,14399.0,Manual,45693.0,Diesel,20.0,65.7,2.1
audi, A6,2017.0,21998.0,Semi-Auto,22456.0,Diesel,145.0,61.4,2.0
skoda, Fabia,2017.0,12980.0,Semi-Auto,8821.0,Petrol,145.0,61.4,1.0
unclean cclass, C Class,2015.0,15250.0,Semi-Auto,43348.0,Diesel,145.0,54.3,1.6
audi, A3,2015.0,14898.0,Manual,45009.0,Diesel,20.0,67.3,2.0
audi, A5,2019.0,26000.0,Semi-Auto,8000.0,Diesel,145.0,48.7,2.0
focus, Focus,2007.0,1850.0,Manual,74500.0,Petrol,145.0,54.3,1.8
merc, SL CLASS,2017.0,35999.0,Semi-Auto,27000.0,Petrol,145.0,36.7,3.0
vw, Golf,2019.0,15495.0,Semi-Auto,18742.0,Diesel,145.0,54.3,1.6
cclass, C Class,2019.0,27000.0,Semi-Auto,6406.0,Diesel,145.0,54.3,2.0
ford, Kuga,2017.0,14785.0,Manual,35972.0,Diesel,150.0,60.1,2.0
merc, C Class,2017.0,19980.0,Automatic,46295.0,Diesel,30.0,64.2,2.1
bmw, 1 Series,2016.0,9999.0,Manual,46620.0,Diesel,0.0,83.1,1.5
merc, B Class,2018.0,17990.0,Automatic,11290.0,Diesel,145.0,68.9,2.1
ford, B-MAX,2017.0,7389.0,Semi-Auto,60420.0,Petrol,160.0,44.1,1.6
ford, Fiesta,2018.0,9900.0,Manual,31016.0,Petrol,145.0,56.5,1.0
audi, Q3,2016.0,18500.0,Automatic,28221.0,Diesel,165.0,50.4,2.0
vauxhall, Mokka X,2019.0,16995.0,Manual,16245.0,Diesel,145.0,50.4,1.6
focus, Focus,2017.0,11998.0,Semi-Auto,18978.0,Diesel,145.0,54.3,1.5
ford, Kuga,2017.0,19995.0,Semi-Auto,22667.0,Diesel,145.0,54.3,2.0
audi, Q2,2017.0,18401.0,Manual,16988.0,Petrol,145.0,50.4,1.4
merc, GLE Class,2019.0,75995.0,Semi-Auto,9.0,Petrol,145.0,23.7,5.5
cclass, C Class,2015.0,12599.0,Manual,50299.0,Diesel,145.0,54.3,1.6
merc, GLA Class,2019.0,30000.0,Automatic,3099.0,Petrol,145.0,35.8,1.6
audi, Q5,2018.0,38995.0,Semi-Auto,15387.0,Petrol,145.0,34.0,3.0
vw, Tiguan,2018.0,23750.0,Semi-Auto,16000.0,Petrol,145.0,40.4,1.4
vauxhall, Insignia,2009.0,2495.0,Manual,116000.0,Diesel,200.0,47.1,2.0
ford, Focus,2014.0,6700.0,Manual,52855.0,Diesel,20.0,67.3,1.6
vw, Polo,2016.0,10032.0,Manual,12054.0,Petrol,20.0,60.1,1.0
ford, EcoSport,2017.0,8500.0,Manual,27400.0,Petrol,150.0,53.3,1.0
unclean focus, Focus,2015.0,7450.0,Manual,69344.0,11,145.0,54.3,1.6
bmw, 1 Series,2017.0,20998.0,Semi-Auto,24999.0,Petrol,200.0,39.8,3.0
skoda, Superb,2018.0,18995.0,Semi-Auto,20962.0,Diesel,150.0,61.4,2.0
toyota, Yaris,2019.0,13495.0,Manual,3381.0,Petrol,145.0,47.9,1.5
vw, Polo,2017.0,10490.0,Manual,24611.0,Petrol,145.0,60.1,1.2
vw, Polo,2019.0,23193.0,Semi-Auto,6000.0,Petrol,145.0,39.8,2.0
vauxhall, Combo Life,2019.0,13998.0,Manual,8087.0,Diesel,150.0,53.3,1.5
vauxhall, Insignia,2015.0,5500.0,Manual,93370.0,Diesel,0.0,76.3,2.0
unclean focus, Focus,2018.0,15995.0,Manual,900.0,Petrol,145.0,54.3,1.6
unclean focus, Focus,2017.0,13500.0,Semi-Auto,8863.0,12,145.0,54.3,1.6
ford, Fiesta,2015.0,6791.0,Manual,40206.0,Petrol,125.0,54.3,1.2
vw, Golf,2015.0,8480.0,Manual,42810.0,Diesel,0.0,68.9,1.6
merc, C Class,2017.0,24699.0,Semi-Auto,19000.0,Petrol,145.0,43.5,2.0
merc, E Class,2017.0,18999.0,Automatic,36738.0,Diesel,145.0,65.7,2.0
ford, EcoSport,2017.0,10498.0,Semi-Auto,29452.0,Petrol,160.0,44.8,1.5
vw, Polo,2019.0,11890.0,Manual,14500.0,Petrol,150.0,48.7,1.0
ford, Fiesta,2018.0,11997.0,Manual,13992.0,Petrol,145.0,56.5,1.0
ford, Kuga,2017.0,16495.0,Manual,19737.0,Diesel,30.0,54.3,2.0
hyundi, Tucson,2019.0,20991.0,Semi-Auto,29986.0,Petrol,150.0,35.8,1.6
vw, Golf,2019.0,26490.0,Automatic,12617.0,Petrol,145.0,37.7,2.0
vauxhall, Meriva,2014.0,5595.0,Manual,50000.0,Petrol,150.0,47.9,1.4
merc, C Class,2019.0,29480.0,Semi-Auto,3299.0,Petrol,145.0,44.1,2.0
unclean cclass, C Class,2014.0,14000.0,Manual,14436.0,31,145.0,54.3,1.6
vw, Golf SV,2019.0,20500.0,Automatic,5784.0,Petrol,145.0,42.8,1.5
vw, Touran,2020.0,24480.0,Semi-Auto,341.0,Diesel,145.0,47.9,2.0
vauxhall, Corsa,2019.0,11157.0,Manual,100.0,Petrol,145.0,43.5,1.4
bmw, X1,2016.0,11000.0,Manual,88387.0,Diesel,20.0,68.9,2.0
vauxhall, Mokka X,2016.0,9799.0,Manual,49888.0,Petrol,200.0,42.2,1.6
skoda, Octavia,2017.0,18490.0,Manual,4054.0,Petrol,145.0,42.8,2.0
vauxhall, Meriva,2013.0,3990.0,Manual,68500.0,Petrol,145.0,47.1,1.4
vauxhall, Astra,2016.0,10490.0,Manual,22330.0,Petrol,125.0,51.4,1.4
bmw, 1 Series,2019.0,24280.0,Manual,1947.0,Petrol,145.0,41.5,1.5
unclean cclass, C Class,2019.0,32499.0,Automatic,3250.0,Petrol,145.0,54.3,1.6
ford, Fiesta,2018.0,9999.0,Manual,27919.0,Petrol,145.0,65.7,1.0
vw, T-Roc,2020.0,23750.0,Semi-Auto,2999.0,Diesel,145.0,50.4,2.0
cclass, C Class,2018.0,23899.0,Semi-Auto,11896.0,Petrol,145.0,54.3,1.5
bmw, X1,2011.0,7950.0,Automatic,70582.0,Diesel,200.0,45.6,2.0
vw, Polo,2017.0,10295.0,Manual,16704.0,Petrol,145.0,60.1,1.0
bmw, 3 Series,2018.0,20140.0,Automatic,2674.0,Diesel,145.0,64.2,2.0
ford, Kuga,2017.0,15999.0,Manual,31065.0,Diesel,145.0,54.3,2.0
vauxhall, Astra,2018.0,10799.0,Manual,16726.0,Petrol,150.0,62.8,1.0
vauxhall, Corsa,2017.0,8995.0,Manual,11500.0,Petrol,145.0,54.3,1.4
unclean cclass, C Class,2017.0,24500.0,Automatic,16000.0,38,145.0,54.3,1.6
vauxhall, Corsa,2018.0,9576.0,Manual,6200.0,Petrol,150.0,43.5,1.4
bmw, 3 Series,2019.0,31995.0,Automatic,13978.0,Diesel,145.0,52.3,2.0
vauxhall, Viva,2017.0,6280.0,Manual,7547.0,Petrol,20.0,62.8,1.0
hyundi, Tucson,2018.0,18000.0,Manual,9424.0,Petrol,150.0,34.9,1.6
unclean cclass, C Class,2017.0,21500.0,Semi-Auto,9238.0,32,145.0,54.3,1.6
merc, CL Class,2019.0,29066.0,Automatic,3220.0,Petrol,145.0,39.8,2.0
bmw, 2 Series,2016.0,12000.0,Automatic,78459.0,Diesel,20.0,68.9,2.0
vw, Up,2015.0,6299.0,Manual,19417.0,Petrol,20.0,62.8,1.0
hyundi, Santa Fe,2018.0,21985.0,Manual,13436.0,Diesel,145.0,47.1,2.2
bmw, 3 Series,2019.0,26589.0,Semi-Auto,9988.0,Diesel,145.0,52.3,2.0
cclass, C Class,2019.0,27924.0,Semi-Auto,9249.0,Diesel,145.0,54.3,2.0
ford, Galaxy,2018.0,19499.0,Manual,31504.0,Diesel,145.0,56.5,2.0
vw, Passat,2019.0,23999.0,Manual,6000.0,Petrol,145.0,45.6,1.5
merc, GLC Class,2017.0,38000.0,Semi-Auto,18120.0,Petrol,150.0,34.0,3.0
vw, Passat,2019.0,21995.0,Semi-Auto,15.0,Diesel,145.0,47.1,1.6
ford, Focus,2018.0,15599.0,Manual,11736.0,Petrol,145.0,60.1,1.0
focus, Focus,2018.0,12600.0,Manual,23164.0,Diesel,145.0,54.3,1.5
toyota, Aygo,2017.0,5444.0,Manual,32465.0,Petrol,0.0,69.0,1.0
vauxhall, Astra,2017.0,13995.0,Semi-Auto,19779.0,Petrol,145.0,51.4,1.4
bmw, 3 Series,2019.0,34999.0,Automatic,20329.0,Diesel,145.0,48.7,2.0
focus, Focus,2016.0,16000.0,Manual,17800.0,Petrol,145.0,54.3,2.0
bmw, M4,2019.0,45475.0,Semi-Auto,24.0,Petrol,145.0,34.0,3.0
hyundi, IX20,2017.0,8769.0,Manual,32663.0,Diesel,30.0,64.2,1.6
focus, Focus,2018.0,13750.0,Manual,7565.0,Diesel,145.0,54.3,1.5
skoda, Octavia,2016.0,15979.0,Automatic,39368.0,Petrol,160.0,44.1,2.0
vw, Golf,2017.0,10600.0,Manual,23257.0,Diesel,30.0,64.2,1.6
toyota, Auris,2014.0,11000.0,Automatic,36645.0,Hybrid,0.0,72.4,1.8
merc, A Class,2015.0,16689.0,Semi-Auto,42100.0,Petrol,200.0,42.8,2.0
bmw, X6,2020.0,49975.0,Semi-Auto,2950.0,Diesel,150.0,34.9,3.0
skoda, Octavia,2017.0,14995.0,Semi-Auto,15777.0,Diesel,30.0,62.8,2.0
vw, Polo,2017.0,11800.0,Manual,9900.0,Petrol,145.0,60.1,1.2
unclean focus, Focus,2015.0,7180.0,Manual,44583.0,Diesel,145.0,54.3,1.6
hyundi, Ioniq,2019.0,23991.0,Automatic,4000.0,Hybrid,135.0,78.5,1.6
vw, Golf,2016.0,13998.0,Manual,27542.0,Petrol,20.0,60.1,1.4
vauxhall, Zafira,2017.0,10799.0,Manual,37466.0,Petrol,200.0,42.2,1.4
ford, Focus,2018.0,19698.0,Manual,16548.0,Petrol,145.0,41.5,2.0
ford, Fiesta,2019.0,14999.0,Manual,8518.0,Petrol,145.0,60.1,1.0
cclass, C Class,2017.0,16498.0,Semi-Auto,63916.0,Hybrid,145.0,54.3,2.0
audi, TT,2018.0,19291.0,Manual,9565.0,Petrol,150.0,47.1,1.8
focus, Focus,2020.0,28998.0,Manual,2985.0,Petrol,145.0,54.3,2.3
merc, GLA Class,2017.0,21995.0,Semi-Auto,22129.0,Diesel,145.0,56.5,2.1
ford, Focus,2019.0,15690.0,Manual,10000.0,Diesel,145.0,74.3,1.5
ford, Fiesta,2017.0,9171.0,Manual,45000.0,Petrol,20.0,62.8,1.0
unclean focus, Focus,2018.0,11750.0,Manual,25465.0,Diesel,145.0,54.3,1.6
ford, Focus,2018.0,18765.0,Manual,17039.0,Petrol,145.0,41.5,2.0
ford, Kuga,2017.0,16490.0,Semi-Auto,15121.0,Diesel,150.0,58.9,1.5
hyundi, I30,2018.0,10600.0,Manual,12304.0,Diesel,145.0,74.3,1.6
bmw, 4 Series,2019.0,39891.0,Automatic,5806.0,Diesel,145.0,51.4,3.0
bmw, 3 Series,2016.0,18498.0,Semi-Auto,36501.0,Diesel,145.0,53.3,3.0
ford, Focus,2014.0,5895.0,Manual,59306.0,Petrol,30.0,56.5,1.0
vw, Tiguan,2018.0,19390.0,Manual,12755.0,Petrol,145.0,48.7,1.4
ford, Fiesta,2019.0,11498.0,Manual,14604.0,Petrol,145.0,58.9,1.0
skoda, Kodiaq,2017.0,16495.0,Manual,39879.0,Petrol,150.0,45.6,1.4
toyota, C-HR,2019.0,14799.0,Manual,12298.0,Petrol,145.0,41.5,1.2
ford, Fiesta,2017.0,9500.0,Manual,24013.0,Petrol,150.0,65.7,1.0
toyota, Aygo,2019.0,10695.0,Automatic,1820.0,Other,145.0,56.5,1.0
unclean cclass, C Class,2019.0,25389.0,Semi-Auto,1839.0,Petrol,145.0,54.3,1.6
unclean focus, Focus,2017.0,11698.0,Manual,17398.0,Diesel,145.0,54.3,1.6
hyundi, IX20,2015.0,6498.0,Manual,27027.0,Petrol,125.0,50.4,1.4
vauxhall, Mokka X,2019.0,12498.0,Manual,12616.0,Petrol,145.0,39.2,1.4
merc, A Class,2016.0,17700.0,Automatic,42865.0,Petrol,200.0,42.8,2.0
audi, Q2,2019.0,22000.0,Manual,4647.0,Diesel,145.0,47.9,1.6
merc, SLK,2012.0,10990.0,Automatic,55000.0,Petrol,200.0,43.5,1.8
skoda, Superb,2017.0,17998.0,Semi-Auto,12338.0,Petrol,145.0,43.5,2.0
toyota, Aygo,2018.0,10495.0,Automatic,6238.0,Other,145.0,67.3,1.0
vw, Polo,2014.0,8534.0,Manual,20667.0,Petrol,20.0,60.1,1.2
vw, Golf,2017.0,13995.0,Semi-Auto,19159.0,Petrol,0.0,65.7,1.0
merc, GLE Class,2016.0,31990.0,Automatic,46000.0,Other,0.0,76.4,3.0
audi, A1,2020.0,25250.0,Semi-Auto,3999.0,Petrol,145.0,44.1,1.5
focus, Focus,2017.0,13000.0,Semi-Auto,17525.0,Petrol,145.0,54.3,1.0
vauxhall, Corsa,2018.0,10000.0,Manual,8826.0,Petrol,150.0,54.3,1.4
ford, Focus,2019.0,17491.0,Automatic,9389.0,Petrol,145.0,50.4,1.0
focus, Focus,2018.0,13820.0,Manual,14835.0,Petrol,145.0,54.3,1.0
merc, GLE Class,2020.0,60899.0,Semi-Auto,1000.0,Diesel,150.0,32.5,2.9
vw, Tiguan,2017.0,18242.0,Manual,19013.0,Petrol,145.0,48.7,1.4
focus, Focus,2017.0,10999.0,Manual,13671.0,Petrol,145.0,54.3,1.0
ford, Focus,2018.0,18797.0,Manual,11597.0,Diesel,145.0,67.3,2.0
unclean cclass, C Class,2020.0,30480.0,Automatic,500.0,Diesel,145.0,54.3,2000.0
vauxhall, Crossland X,2018.0,11500.0,Manual,9730.0,Diesel,145.0,78.5,1.6
cclass, C Class,2017.0,37946.0,Automatic,24711.0,Petrol,145.0,54.3,4.0
audi, A4,2019.0,44300.0,Semi-Auto,5956.0,Diesel,145.0,39.8,3.0
skoda, Kodiaq,2017.0,20990.0,Automatic,19500.0,Petrol,150.0,44.8,1.4
merc, X-CLASS,2019.0,28990.0,Automatic,4000.0,Diesel,260.0,35.8,2.3
skoda, Superb,2019.0,28295.0,Semi-Auto,500.0,Petrol,145.0,38.2,2.0
audi, Q7,2018.0,45990.0,Automatic,24340.0,Diesel,145.0,47.1,3.0
unclean cclass, C Class,2017.0,15999.0,Semi-Auto,34301.0,Diesel,145.0,54.3,1.6
skoda, Fabia,2018.0,12000.0,Semi-Auto,3158.0,Petrol,150.0,61.4,1.0
hyundi, I20,2015.0,5495.0,Manual,56471.0,Petrol,30.0,58.9,1.2
merc, GLA Class,2017.0,18101.0,Manual,43239.0,Diesel,30.0,64.2,2.1
vauxhall, Mokka X,2018.0,12800.0,Automatic,33155.0,Petrol,145.0,37.2,1.4
unclean cclass, C Class,2019.0,32699.0,Semi-Auto,1362.0,Diesel,145.0,54.3,1.6
audi, A3,2016.0,14995.0,Manual,39750.0,Petrol,30.0,57.6,1.4
bmw, X1,2016.0,18650.0,Automatic,29330.0,Diesel,145.0,55.4,2.0
vw, Polo,2016.0,10542.0,Manual,12000.0,Petrol,20.0,60.1,1.2
audi, A3,2015.0,11995.0,Manual,52516.0,Diesel,20.0,68.9,2.0
audi, Q2,2017.0,17950.0,Semi-Auto,41193.0,Petrol,145.0,54.3,1.4
vw, Tiguan,2016.0,11541.0,Manual,57240.0,Diesel,125.0,56.5,2.0
ford, Focus,2019.0,15410.0,Manual,8150.0,Petrol,145.0,60.1,1.0
merc, GLA Class,2016.0,20042.0,Semi-Auto,15182.0,Diesel,125.0,56.5,2.1
audi, A1,2017.0,15290.0,Semi-Auto,11900.0,Petrol,150.0,64.2,1.0
audi, A4,2016.0,16499.0,Automatic,37089.0,Diesel,30.0,64.2,2.0
audi, A3,2014.0,11600.0,Manual,43662.0,Diesel,20.0,67.3,2.0
ford, Fiesta,2016.0,8795.0,Manual,56000.0,Petrol,150.0,47.9,1.6
vauxhall, Mokka X,2017.0,9490.0,Manual,46783.0,Petrol,205.0,42.2,1.6
toyota, Auris,2015.0,11400.0,Automatic,56617.0,Hybrid,0.0,70.6,1.8
vauxhall, Corsa,2016.0,6495.0,Manual,30161.0,Petrol,30.0,55.4,1.4
bmw, 5 Series,2016.0,12295.0,Automatic,97930.0,Diesel,125.0,60.1,2.0
ford, Fiesta,2017.0,8980.0,Manual,24000.0,Petrol,0.0,65.7,1.0
vw, Passat,2013.0,5770.0,Manual,91016.0,Diesel,30.0,61.4,2.0
toyota, Hilux,2019.0,23600.0,Manual,19211.0,Diesel,260.0,40.4,2.4
unclean cclass, C Class,2019.0,49280.0,Automatic,962.0,Petrol,145.0,54.3,1.6
bmw, 1 Series,2020.0,27995.0,Manual,2500.0,Diesel,145.0,53.3,2.0
vauxhall, Mokka X,2018.0,12499.0,Manual,13328.0,Petrol,145.0,47.1,1.4
skoda, Octavia,2018.0,12060.0,Automatic,24752.0,Petrol,145.0,57.7,1.5
vw, Tiguan,2020.0,29999.0,Automatic,2728.0,Diesel,145.0,47.9,2.0
vauxhall, Combo Life,2018.0,14499.0,Manual,11886.0,Diesel,145.0,53.3,1.5
vauxhall, Astra,2011.0,4495.0,Automatic,75546.0,Diesel,200.0,48.7,2.0
vw, Golf,2016.0,11250.0,Manual,29723.0,Diesel,0.0,74.3,1.6
vauxhall, Astra,2018.0,11740.0,Manual,32263.0,Petrol,145.0,45.6,1.6
ford, Fiesta,2011.0,5499.0,Manual,35088.0,Petrol,145.0,48.7,1.4
skoda, Octavia,2019.0,18998.0,Semi-Auto,25.0,Diesel,145.0,67.3,2.0
merc, C Class,2019.0,34995.0,Automatic,5000.0,Petrol,145.0,44.1,2.0
toyota, Yaris,2017.0,10495.0,Automatic,24311.0,Petrol,30.0,58.0,1.3
ford, Grand C-MAX,2017.0,11495.0,Manual,24501.0,Diesel,145.0,64.2,1.5
unclean focus, Focus,2015.0,9999.0,Manual,29389.0,Diesel,145.0,54.3,1.6
bmw, 4 Series,2015.0,14000.0,Automatic,76660.0,Diesel,125.0,57.6,2.0
merc, SL CLASS,2017.0,20298.0,Semi-Auto,20028.0,Diesel,30.0,70.6,2.1
vw, Passat,2015.0,9998.0,Manual,43382.0,Diesel,20.0,70.6,1.6
vauxhall, Viva,2015.0,5891.0,Manual,30500.0,Petrol,20.0,62.8,1.0
skoda, Karoq,2019.0,27500.0,Automatic,3800.0,Diesel,150.0,42.8,2.0
vauxhall, Astra,2017.0,9997.0,Semi-Auto,45214.0,Diesel,125.0,61.4,1.6
audi, A6,2016.0,17397.0,Manual,36611.0,Diesel,30.0,61.4,2.0
ford, Focus,2017.0,10999.0,Manual,17918.0,Petrol,150.0,60.1,1.0
hyundi, Tucson,2017.0,15040.0,Semi-Auto,12356.0,Diesel,125.0,57.6,1.7
vauxhall, Corsa,2016.0,6750.0,Manual,44000.0,Petrol,30.0,54.3,1.4
merc, C Class,2015.0,14000.0,Automatic,73960.0,Diesel,30.0,64.2,2.1
merc, A Class,2019.0,22599.0,Automatic,2823.0,Diesel,145.0,62.8,1.5
vauxhall, Mokka X,2017.0,11000.0,Manual,10710.0,Petrol,145.0,42.2,1.6
bmw, 1 Series,2017.0,13698.0,Semi-Auto,12102.0,Diesel,0.0,78.5,1.5
vauxhall, Adam,2019.0,9995.0,Manual,2909.0,Petrol,145.0,44.8,1.2
toyota, C-HR,2017.0,18495.0,Automatic,8100.0,Petrol,145.0,47.9,1.2
vw, Up,2019.0,12299.0,Semi-Auto,2032.0,Petrol,145.0,52.3,1.0
vauxhall, Astra,2015.0,6150.0,Manual,39000.0,Petrol,145.0,48.7,1.4
vw, Golf,2016.0,18950.0,Manual,33722.0,Petrol,200.0,39.8,2.0
audi, A1,2019.0,22450.0,Automatic,6481.0,Petrol,150.0,40.9,2.0
cclass, C Class,2016.0,18699.0,Semi-Auto,38265.0,Diesel,145.0,54.3,2.1
ford, Focus,2018.0,12295.0,Manual,13500.0,Petrol,145.0,60.1,1.0
vw, Tiguan,2018.0,19850.0,Manual,9676.0,Petrol,145.0,46.3,1.4
bmw, 4 Series,2016.0,10995.0,Manual,103500.0,Diesel,30.0,67.3,2.0
vauxhall, Combo Life,2018.0,13499.0,Manual,10875.0,Diesel,145.0,53.3,1.5
audi, A7,2015.0,21990.0,Manual,47000.0,Diesel,160.0,52.3,3.0
ford, C-MAX,2016.0,7787.0,Manual,50656.0,Petrol,160.0,44.1,1.6
merc, A Class,2017.0,14250.0,Manual,36620.0,Petrol,150.0,51.4,1.6
audi, Q3,2013.0,13700.0,Semi-Auto,40510.0,Diesel,200.0,47.9,2.0
merc, C Class,2014.0,17000.0,Automatic,36115.0,Diesel,125.0,60.1,2.1
skoda, Fabia,2017.0,7970.0,Manual,27976.0,Petrol,150.0,58.8,1.0
toyota, C-HR,2017.0,19990.0,Automatic,21107.0,Hybrid,135.0,74.3,1.8
toyota, RAV4,2017.0,20182.0,Automatic,25714.0,Petrol,145.0,43.5,2.0
ford, Focus,2019.0,17899.0,Manual,6880.0,Petrol,145.0,60.1,1.0
merc, C Class,2018.0,29249.0,Semi-Auto,4574.0,Diesel,145.0,54.3,2.0
ford, Kuga,2015.0,11000.0,Manual,38000.0,Diesel,125.0,60.1,2.0
audi, A3,2014.0,10998.0,Manual,53664.0,Petrol,30.0,57.6,1.2
skoda, Octavia,2019.0,24950.0,Automatic,1932.0,Petrol,145.0,38.2,2.0
bmw, 5 Series,2019.0,32250.0,Semi-Auto,1400.0,Hybrid,135.0,156.9,2.0
skoda, Karoq,2019.0,18995.0,Manual,11435.0,Petrol,145.0,52.3,1.5
